n_of_job,iteration,seed,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,1,42,3.4169,11,131,0.645,127,3.9498,11,131,0.619,127,4.19,11,131,0.663,127,1.4055,123
30,2,43,7.8073,10,42,0.5849,42,4.9078,10,42,0.6023,42,5.9029,10,41,0.665,38,0.5221,35
30,3,44,4.6671,14,98,1.5365,88,5.8134,14,98,0.879,88,6.3078,14,98,1.0242,88,4.8612,88
30,4,45,5.3966,12,128,0.9604,117,4.3684,12,128,0.9475,117,5.2903,12,128,0.8282,121,8.6332,117
30,5,46,4.6607,8,71,0.4339,71,3.9852,8,71,0.5395,71,3.6939,8,71,0.5708,71,0.1197,68
30,6,47,4.1776,11,104,0.6908,103,5.501,11,103,0.5884,103,9.0378,11,103,0.6036,103,2.3822,103
30,7,48,5.336,9,25,0.5428,25,6.915,9,23,0.5894,23,3.2706,9,25,0.6088,25,0.0752,25
30,8,49,4.7276,13,79,0.9019,78,4.4579,13,79,0.7812,78,7.0498,13,79,0.9131,78,1.1078,77
30,9,50,5.9912,9,50,0.5228,50,5.0416,9,50,0.5695,50,4.2242,9,50,0.605,50,0.4899,50
30,10,51,5.2744,12,77,0.7318,75,8.1675,12,77,0.8126,75,6.0315,12,77,0.794,74,5.7193,69
60,1,42,54.5542,25,464,2.9056,403,28.4708,25,451,2.49,416,37.1508,25,446,1.8968,403,12.3996,401
60,2,43,36.7561,21,207,1.807,172,22.4342,21,208,4.0906,184,21.0696,21,199,1.5632,191,12.3906,188
60,3,44,24.4758,21,438,2.7673,388,38.6582,21,379,4.3975,352,41.1876,21,357,1.5423,344,10.0732,339
60,4,45,67.8306,26,697,4.7075,574,32.4914,26,697,2.2242,603,40.0121,26,672,2.406,610,12.7327,607
60,5,46,11.9951,19,393,1.8875,360,37.0487,19,324,1.674,311,27.2523,19,361,1.5517,329,10.0753,323
60,6,47,53.8118,21,451,2.7476,423,40.0925,21,413,1.6714,380,47.7082,21,413,1.8025,378,10.0805,407
60,7,48,7.4577,16,202,2.0346,189,24.2731,15,284,1.0903,203,30.9199,15,194,1.0657,185,10.074,189
60,8,49,15.9761,18,269,2.0443,248,40.9859,18,218,1.9836,210,39.7512,18,229,1.9166,216,10.0669,223
60,9,50,35.5685,19,298,4.8497,233,38.2476,19,252,1.4718,232,42.771,19,250,1.8425,231,10.0697,229
60,10,51,28.1945,23,280,1.7006,215,51.1893,23,209,1.8798,200,52.812,23,220,2.2267,209,12.2306,203
120,1,42,28.1187,41,2251,10.4119,1719,142.5323,41,1362,6.8512,1268,140.2069,41,1398,4.5294,1365,10.0782,1291
120,2,43,115.1551,40,1098,6.7541,925,201.1876,40,752,1.63,752,86.5246,40,952,8.079,767,10.0784,657
120,3,44,30.1742,41,2399,13.0835,1636,178.184,40,1691,6.4158,1467,192.6969,40,1697,8.3935,1542,10.0849,1508
120,4,45,71.5682,42,2453,11.7846,1822,215.1659,42,1533,5.891,1271,160.8543,42,1572,5.5555,1367,10.0732,1312
120,5,46,66.6925,35,2180,9.5771,1501,172.793,33,1382,3.7326,1238,108.2918,34,2001,8.1221,1397,10.0702,1367
120,6,47,83.1582,44,1691,1.9719,1691,155.7484,44,1207,4.762,1110,185.9001,44,1211,4.3626,1163,10.0738,1048
120,7,48,44.4087,36,1158,10.5679,984,267.0226,36,687,3.2136,661,227.7608,35,895,4.5221,842,10.0814,886
120,8,49,108.2976,37,1346,15.4649,949,171.0065,37,712,2.8507,704,187.7945,37,749,2.8817,731,10.0809,774
120,9,50,58.8474,41,1260,4.6415,864,88.6136,41,1032,5.5182,699,80.3902,40,1723,4.7248,1043,12.7923,933
120,10,51,57.5573,40,1268,8.6703,951,246.9589,40,636,2.975,633,219.991,40,638,3.7967,604,10.0758,516
