n_of_job,iteration,seed,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness,min_value,RKGA,BRKGA,OBRKGA,O+CP,,,,,
30,1,42,3.7062,12,77,0.7639,75,3.5071,12,77,0.7122,75,3.6666,12,77,0.7361,75,8.4179,73,73,2.739726027,2.739726027,2.739726027,0,avg,2.659285174,2.750513889,2.641770381,0.326666667
30,2,43,2.8736,12,76,0.8524,71,3.2683,12,76,3.7082,71,3.809,12,76,1.0653,71,2.3145,69,69,2.898550725,2.898550725,2.898550725,0,std,1.941764285,1.971625229,1.895812156,0.653503379
30,3,44,4.1167,15,104,1.012,99,3.7604,15,104,0.931,99,3.7888,15,104,0.9123,99,6.0374,94,94,5.319148936,5.319148936,5.319148936,0,,,,,
30,4,45,5.9799,15,103,0.8963,92,4.1817,15,103,1.2804,93,3.5415,15,103,1.2644,92,10.0734,89,89,3.370786517,4.494382022,3.370786517,0,,,,,
30,5,46,2.6198,10,130,0.6057,125,3.9474,10,127,0.6015,127,5.5413,10,127,0.6335,127,0.8109,127,125,0,1.6,1.6,1.6,,,,,
30,6,47,3.3061,13,201,1.1003,180,3.3798,13,201,0.8039,181,3.1341,13,201,0.827,180,10.0621,183,180,0,0.555555556,0,1.666666667,,,,,
30,7,48,3.3454,11,75,1.1914,67,2.8331,11,75,3.1933,67,3.7146,11,75,0.9508,67,0.5936,63,63,6.349206349,6.349206349,6.349206349,0,,,,,
30,8,49,6.0321,16,184,1.0961,173,3.6767,16,189,1.2603,169,4.9611,16,184,1.2985,170,12.3818,169,169,2.366863905,0,0.591715976,0,,,,,
30,9,50,2.8864,10,88,0.6782,84,2.8299,10,88,0.5757,84,2.7753,10,88,0.6605,84,1.0742,83,83,1.204819277,1.204819277,1.204819277,0,,,,,
30,10,51,4.2034,15,150,1.1775,131,3.9623,15,150,0.9292,131,3.6715,15,150,1.2431,131,12.458,128,128,2.34375,2.34375,2.34375,0,,,,,
