n_of_job,iteration,seed,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
24,1,42,2.7327,12,64,0.8018,61,1.4362,59
24,2,43,2.1588,10,39,0.6661,38,0.549,37
24,3,44,2.4058,12,80,0.712,75,12.3372,74
24,4,45,2.4876,13,114,0.8332,104,10.0745,103
24,5,46,2.0767,9,73,0.5959,68,0.7056,63
24,6,47,2.1411,10,69,0.5987,69,0.6241,64
24,7,48,2.3146,11,52,0.7226,45,0.8626,45
24,8,49,5.0901,11,112,0.7577,107,1.081,106
24,9,50,2.0319,9,53,0.6522,42,0.56,38
24,10,51,2.6338,13,69,0.8644,65,4.0438,62
36,1,42,4.385,15,120,0.9629,118,10.0743,115
36,2,43,7.1337,13,73,0.7267,73,1.8609,68
36,3,44,6.4572,16,210,1.886,192,10.0769,192
36,4,45,6.7222,16,184,1.0615,161,13.0182,163
36,5,46,5.6621,13,188,0.7122,188,3.0235,186
36,6,47,4.2435,16,226,1.3139,206,13.0305,208
36,7,48,5.1401,12,82,0.7925,68,0.7013,65
36,8,49,4.9978,16,249,1.2014,229,10.0762,229
36,9,50,7.3476,13,93,0.8819,80,5.78,77
36,10,51,5.7774,18,130,1.5403,114,10.0781,116
48,1,42,11.502,21,223,4.579,221,10.0743,216
48,2,43,17.7389,22,177,1.6309,163,13.0054,155
48,3,44,19.2595,22,260,1.8705,240,13.0978,227
48,4,45,10.5442,22,298,2.4362,273,10.0782,261
48,5,46,12.562,19,277,1.1608,261,10.0764,262
48,6,47,16.315,20,245,1.1831,232,10.0617,228
48,7,48,9.3354,18,129,1.9031,110,13.086,106
48,8,49,11.2508,21,264,1.6056,238,10.074,235
48,9,50,23.0474,18,193,1.7675,188,10.0722,190
48,10,51,20.5705,20,250,1.8916,213,10.0704,215
60,1,42,41.1863,25,437,1.1425,437,13.0486,414
60,2,43,23.303,24,293,2.2029,239,13.0857,229
60,3,44,30.6502,23,357,0.9946,357,10.0728,338
60,4,45,40.0461,28,506,2.9355,432,13.1503,406
60,5,46,28.9589,19,375,1.3991,319,13.1601,322
60,6,47,15.7006,25,558,2.686,471,13.1087,469
60,7,48,25.3438,18,229,1.501,205,13.0772,205
60,8,49,31.551,19,345,1.5855,341,10.0706,360
60,9,50,27.4119,21,283,1.8186,253,10.0765,255
60,10,51,39.0428,26,378,2.3046,316,12.1183,322
120,1,42,175.6245,44,1228,6.8257,1075,10.0693,1066
120,2,43,179.8304,41,917,1.8102,917,13.0015,784
120,3,44,215.3673,45,1384,9.1548,1264,12.3666,1194
120,4,45,99.2221,42,1744,6.3726,1471,10.0646,1423
120,5,46,116.797,37,1621,6.5015,1423,10.0628,1349
120,6,47,205.2174,44,2029,5.8031,1790,10.0675,1684
120,7,48,142.2317,37,928,6.636,808,10.0727,773
120,8,49,151.3206,39,1630,8.3424,1408,10.0665,1348
120,9,50,159.1316,42,1177,4.5098,1177,10.0665,979
120,10,51,213.791,42,1160,5.1542,1042,10.0754,1037
180,1,42,572.4252,64,2549,3.8412,2549,10.0904,2211
180,2,43,531.2506,64,1862,3.4035,1862,10.0773,1749
180,3,44,322.0417,64,4017,20.3042,2898,10.0895,2698
180,4,45,473.7637,66,3143,17.5198,2657,10.0725,2524
180,5,46,476.2788,55,1936,5.5857,1882,10.0698,1936
180,6,47,70.1519,62,6797,16.1922,4563,10.0664,4526
180,7,48,420.3386,59,2642,18.7182,2300,10.086,2143
180,8,49,64.6016,57,5283,12.5832,3427,12.7932,3339
180,9,50,504.4937,59,2530,14.2084,2122,10.0632,2073
180,10,51,376.001,57,2404,11.3465,2165,12.1317,2115
300,1,42,1375.2104,93,7602,34.6795,6205,12.2605,5775
