n_of_job,iteration,seed,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,RKGA_CP_time,RKGA_CP_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,BRKGA_CP_time,BRKGA_CP_fitness
24,1,42,3.6259,12,64,0.7566,61,1.4678,59,3.036,12,64,0.7672,61,1.4446,59
24,2,43,4.2742,10,39,0.6747,38,0.6293,37,2.2562,10,39,0.5828,38,0.5872,37
24,3,44,2.413,12,80,0.7447,75,10.0642,74,2.7165,12,80,0.6851,75,12.0401,74
24,4,45,2.6086,13,114,0.9495,104,10.0735,103,2.4534,13,114,0.8386,104,10.0774,103
24,5,46,2.1242,9,73,0.4907,67,0.6175,63,4.4555,9,73,0.6186,67,0.6713,63
24,6,47,2.3818,10,69,0.5947,69,0.6362,64,2.2225,10,69,0.5977,69,0.6345,64
24,7,48,2.5616,11,52,0.6363,45,0.7755,45,2.3914,11,52,0.7399,45,0.8249,45
24,8,49,2.2638,11,112,0.7091,106,0.9539,106,2.2156,11,112,0.6706,107,0.9296,106
24,9,50,2.3616,9,53,0.5585,42,0.5653,38,2.079,9,53,0.6281,42,0.5917,38
24,10,51,5.18,13,69,0.8718,68,3.0962,64,2.4819,13,69,1.0723,66,2.8642,64
36,1,42,7.879,15,119,1.2143,108,10.0808,102,7.8514,15,120,0.9586,118,10.0803,115
36,2,43,4.1209,13,73,0.6915,73,1.7868,68,4.3515,13,73,0.6524,73,1.7542,68
36,3,44,9.7462,16,209,1.2795,203,10.0665,199,6.4367,16,213,1.4531,197,12.4469,194
36,4,45,6.1881,16,191,0.9785,180,10.0727,182,8.732,16,180,1.0344,157,12.4869,158
36,5,46,4.6471,13,188,0.688,188,3.3239,186,5.223,13,188,0.6843,188,2.5931,186
36,6,47,5.2417,16,226,1.3671,206,12.5667,208,5.132,16,226,1.0578,206,10.073,208
36,7,48,5.1495,12,82,0.7375,68,0.6937,65,7.9023,12,82,0.7926,68,0.6938,65
36,8,49,4.7045,16,249,1.2711,231,10.0698,229,4.3183,16,249,0.947,231,12.4267,229
36,9,50,8.4547,13,93,1.0984,80,2.7165,77,6.4111,13,93,0.9096,80,2.566,77
36,10,51,9.0166,18,130,1.5676,123,10.0775,108,6.714,18,130,1.414,117,10.0814,116
48,1,42,27.6834,21,219,0.8605,219,12.5924,212,16.8015,21,223,1.177,205,10.0764,204
48,2,43,17.8859,22,174,0.9218,174,10.0746,162,11.0246,22,186,1.0374,186,10.0799,161
48,3,44,27.159,22,260,2.8816,238,10.0773,227,17.1958,22,264,2.1528,238,10.0764,233
48,4,45,13.4866,22,298,2.3763,281,12.3019,261,16.3999,22,298,1.9432,270,12.309,261
48,5,46,10.4694,19,277,1.7359,261,10.0776,262,13.7918,19,275,1.2403,273,10.0735,270
48,6,47,19.923,20,245,1.8855,228,10.078,228,13.4407,20,245,1.5411,225,12.3813,228
48,7,48,10.3486,18,130,2.3111,111,10.0695,107,13.0193,18,129,1.5758,110,10.0767,106
