n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,0,0,42,42,2.5019,11,144,0.7195,123,1.9645,121
30,3,0,1,42,43,3.1098,11,144,0.749,123,2.1064,121
30,3,0,2,42,44,2.3833,11,144,0.7683,123,1.7988,121
30,3,0,3,42,45,1.9433,11,144,0.8103,123,2.0823,121
30,3,0,4,42,46,2.4845,11,144,0.7798,123,1.7065,121
30,3,0,5,42,47,2.4787,11,144,0.8566,123,2.2177,121
30,3,0,6,42,48,2.5009,11,144,0.7798,123,1.8622,121
30,3,0,7,42,49,2.4767,11,144,0.7626,123,1.9542,121
30,3,0,8,42,50,2.6074,11,144,0.8291,123,1.8378,121
30,3,0,9,42,51,2.2969,11,144,0.7986,123,2.0925,121
30,3,1,0,43,42,2.2371,10,27,0.6899,51,0.6806,47
30,3,1,1,43,43,2.3087,10,27,0.7536,55,0.7377,52
30,3,1,2,43,44,1.9844,10,27,0.8176,51,0.8581,47
30,3,1,3,43,45,1.9672,10,27,0.769,57,0.8359,53
30,3,1,4,43,46,2.7599,10,27,1.0473,55,0.7262,52
30,3,1,5,43,47,2.312,10,27,0.6874,57,0.8027,53
30,3,1,6,43,48,2.2556,10,27,0.6745,57,0.7088,53
30,3,1,7,43,49,2.4039,10,27,0.7227,57,0.7411,53
30,3,1,8,43,50,2.3747,10,27,0.8169,51,0.7482,47
30,3,1,9,43,51,2.6941,10,27,0.7589,51,0.8258,47
30,3,2,0,44,42,2.3755,14,60,1.0352,91,6.0049,91
30,3,2,1,44,43,2.3713,14,60,0.9223,91,5.3072,91
30,3,2,2,44,44,2.3704,14,60,0.8918,98,2.4723,97
30,3,2,3,44,45,2.1377,14,60,0.8946,98,2.1752,97
30,3,2,4,44,46,2.3479,14,60,0.9102,98,2.0897,97
30,3,2,5,44,47,2.2045,14,60,0.9915,91,6.4959,91
30,3,2,6,44,48,2.2012,14,60,0.84,98,3.5113,97
30,3,2,7,44,49,2.3966,14,60,0.9191,98,2.6218,97
30,3,2,8,44,50,2.4289,14,60,0.8305,91,5.9284,91
30,3,2,9,44,51,2.6948,14,60,0.8467,98,2.5829,97
30,3,3,0,45,42,3.3856,12,112,0.8519,142,10.0759,142
30,3,3,1,45,43,4.4042,12,112,0.8732,151,10.0796,151
30,3,3,2,45,44,3.6921,12,112,0.9187,142,10.0808,142
30,3,3,3,45,45,4.3617,12,112,0.7496,151,10.0717,151
30,3,3,4,45,46,4.1618,12,112,0.8658,142,10.0562,142
30,3,3,5,45,47,3.3922,12,112,0.8174,151,10.0802,151
30,3,3,6,45,48,3.704,12,112,0.9033,142,10.0753,142
30,3,3,7,45,49,3.6727,12,112,0.9321,151,10.0461,151
30,3,3,8,45,50,2.8616,12,112,0.792,151,10.0813,151
30,3,3,9,45,51,3.7295,12,112,0.9097,142,10.0528,142
30,3,4,0,46,42,2.2493,8,127,0.6093,97,0.5869,87
30,3,4,1,46,43,2.4275,8,127,0.6221,100,0.6334,87
30,3,4,2,46,44,2.3882,8,127,0.6209,100,0.6241,87
30,3,4,3,46,45,1.8418,8,127,0.5973,92,0.558,87
30,3,4,4,46,46,2.0724,8,127,0.6103,92,0.5837,87
30,3,4,5,46,47,2.1417,8,127,0.5945,100,0.6076,87
30,3,4,6,46,48,1.8216,8,128,0.5896,95,0.546,89
30,3,4,7,46,49,2.1183,8,127,0.6037,100,0.6133,87
30,3,4,8,46,50,2.4131,8,127,0.5951,100,0.6259,87
30,3,4,9,46,51,2.201,8,127,0.6021,100,0.6131,87
30,6,0,0,42,42,2.2596,12,68,0.8388,75,4.537,75
30,6,0,1,42,43,2.0892,12,68,0.8113,75,4.4714,75
30,6,0,2,42,44,2.227,12,68,0.8708,75,4.6215,75
30,6,0,3,42,45,1.9978,12,68,0.7922,75,4.9664,75
30,6,0,4,42,46,2.0545,12,68,0.8975,75,4.9636,75
30,6,0,5,42,47,2.2793,12,68,0.853,75,5.2233,75
30,6,0,6,42,48,2.1875,12,68,0.8142,75,5.191,75
30,6,0,7,42,49,2.0712,12,68,0.8226,75,4.6166,75
30,6,0,8,42,50,2.0278,12,68,0.7674,75,5.0389,75
30,6,0,9,42,51,2.107,12,68,0.8826,75,5.6426,75
30,6,1,0,43,42,2.2349,12,66,0.8317,71,1.8803,67
30,6,1,1,43,43,2.1364,12,66,0.8904,71,1.9863,67
