n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,0,0,42,42,4.0666,11,144,0.7745,123,1.7178,121
30,3,0,1,42,43,3.4358,11,144,0.7928,123,2.2975,121
30,3,0,2,42,44,3.1846,11,144,0.8318,123,2.1789,121
30,3,0,3,42,45,3.3046,11,144,0.8513,123,1.9694,121
30,3,0,4,42,46,3.5189,11,144,0.8075,123,2.7538,121
30,3,0,5,42,47,4.1993,11,144,0.8008,123,2.0814,121
30,3,0,6,42,48,3.5212,11,144,0.7421,123,1.5545,121
30,3,0,7,42,49,3.1626,11,144,0.7526,123,1.8205,121
30,3,0,8,42,50,3.3484,11,144,0.751,123,2.0652,121
30,3,0,9,42,51,3.1902,11,144,0.8205,123,1.6574,121
30,3,1,0,43,42,3.2103,10,27,0.7666,51,1.569,47
30,3,1,1,43,43,3.0691,10,27,0.7906,55,0.7067,51
30,3,1,2,43,44,3.3033,10,27,0.7642,51,0.7389,47
30,3,1,3,43,45,3.1896,10,27,0.7441,57,0.7992,53
30,3,1,4,43,46,3.2996,10,27,1.1577,56,0.775,51
30,3,1,5,43,47,3.5272,10,27,0.6948,54,0.7953,48
30,3,1,6,43,48,3.1061,10,27,0.7082,51,0.6798,47
30,3,1,7,43,49,4.1333,10,27,0.7597,55,0.6752,52
30,3,1,8,43,50,3.174,10,27,0.6822,55,0.6859,51
30,3,1,9,43,51,3.1463,10,27,0.684,57,0.6952,54
30,3,2,0,44,42,3.3754,14,60,0.8754,98,2.3671,97
30,3,2,1,44,43,3.6092,14,60,0.9629,91,6.4876,91
30,3,2,2,44,44,4.419,14,60,0.8955,91,5.9646,91
30,3,2,3,44,45,3.2968,14,60,0.963,98,2.4336,97
30,3,2,4,44,46,3.3851,14,60,0.8851,91,5.6565,91
30,3,2,5,44,47,3.1588,14,60,0.9173,91,6.848,91
30,3,2,6,44,48,3.6163,14,60,0.9666,98,2.5332,97
30,3,2,7,44,49,3.2693,14,60,0.8289,98,2.9477,97
30,3,2,8,44,50,3.3336,14,60,0.8856,98,2.2977,97
30,3,2,9,44,51,3.1597,14,60,0.8768,91,7.3,91
30,3,3,0,45,42,4.2324,12,112,0.8894,142,10.0668,142
30,3,3,1,45,43,4.5422,12,112,0.8082,151,10.0723,151
30,3,3,2,45,44,5.5542,12,112,0.9246,142,10.0756,142
30,3,3,3,45,45,5.0093,12,112,0.7628,142,10.0692,142
30,3,3,4,45,46,6.2891,12,112,0.9082,142,10.0778,142
30,3,3,5,45,47,4.0631,12,112,0.7978,151,10.0731,151
30,3,3,6,45,48,5.9625,12,112,0.7863,151,10.0766,151
30,3,3,7,45,49,5.8133,12,112,0.7866,151,10.0774,151
30,3,3,8,45,50,5.439,12,112,0.8411,142,10.0762,142
30,3,3,9,45,51,4.5642,12,112,0.7973,151,10.0883,151
30,3,4,0,46,42,3.0125,8,127,1.4477,100,0.6227,87
30,3,4,1,46,43,2.8595,8,127,0.6246,100,0.6076,87
30,3,4,2,46,44,3.3952,8,127,0.6351,100,0.6153,87
30,3,4,3,46,45,3.4499,8,127,0.6311,100,0.5961,87
30,3,4,4,46,46,2.6958,8,127,0.6179,100,0.613,87
30,3,4,5,46,47,2.9394,8,127,0.61,100,0.6321,87
30,3,4,6,46,48,3.049,8,127,0.6086,97,0.6043,87
30,3,4,7,46,49,3.1876,8,127,0.6436,92,0.5687,87
30,3,4,8,46,50,3.9821,8,127,0.6144,100,0.6171,87
30,3,4,9,46,51,2.9969,8,127,0.6034,92,0.5888,87
30,6,0,0,42,42,3.2262,12,68,0.9136,75,4.6067,75
30,6,0,1,42,43,2.947,12,68,0.8212,75,5.4738,75
30,6,0,2,42,44,3.1037,12,68,0.8875,75,5.4928,75
30,6,0,3,42,45,3.2311,12,68,0.8204,75,5.2206,75
30,6,0,4,42,46,3.0919,12,68,0.9168,75,5.0828,75
30,6,0,5,42,47,2.9994,12,68,0.9017,75,4.668,75
30,6,0,6,42,48,3.1174,12,68,1.6065,75,5.2445,75
30,6,0,7,42,49,3.5863,12,68,0.8759,75,4.5677,75
30,6,0,8,42,50,2.9925,12,68,0.8224,75,4.5568,75
30,6,0,9,42,51,3.074,12,68,0.8398,75,4.9625,75
30,6,1,0,43,42,3.8141,12,66,0.8438,71,1.9606,67
30,6,1,1,43,43,3.0698,12,66,0.9537,71,2.2953,67
30,6,1,2,43,44,3.1166,12,66,0.83,71,2.0714,67
30,6,1,3,43,45,3.1276,12,66,0.8399,71,2.0689,67
30,6,1,4,43,46,3.0635,12,66,0.8907,71,2.1649,67
30,6,1,5,43,47,3.9345,12,66,0.9354,71,2.082,67
30,6,1,6,43,48,3.3117,12,66,0.8652,71,2.0508,67
30,6,1,7,43,49,3.1982,12,66,0.862,71,1.7616,67
30,6,1,8,43,50,2.9986,12,66,0.8875,71,2.1177,67
30,6,1,9,43,51,3.0636,12,66,0.8119,71,1.7975,67
30,6,2,0,44,42,3.3228,15,53,1.9938,119,10.0827,112
30,6,2,1,44,43,3.4581,15,53,1.2858,119,10.0666,112
30,6,2,2,44,44,3.2867,15,53,1.0605,119,10.897,112
30,6,2,3,44,45,3.1499,15,53,0.9825,119,10.0817,112
30,6,2,4,44,46,3.21,15,53,1.0716,119,10.9201,112
30,6,2,5,44,47,3.3676,15,53,0.9875,119,10.0802,114
30,6,2,6,44,48,3.2865,15,53,0.9963,119,10.9236,112
30,6,2,7,44,49,3.395,15,53,1.5641,121,10.071,121
30,6,2,8,44,50,3.1972,15,53,1.1346,119,10.0731,112
30,6,2,9,44,51,4.1227,15,53,0.94,119,10.0863,112
30,6,3,0,45,42,3.2255,15,67,1.0481,94,10.0765,92
30,6,3,1,45,43,3.1524,15,67,1.0538,94,10.9525,91
30,6,3,2,45,44,3.1867,15,67,1.0488,94,10.0712,92
