n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness
30,3,2,0,44,42,5.8763,14,100,4.8132,14,98,8.511,14,98
30,3,2,1,44,43,2.6801,14,100,5.6681,14,98,5.5539,14,98
30,3,2,2,44,44,5.6648,14,98,8.0749,14,98,6.8351,14,98
30,3,2,3,44,45,6.2821,14,98,4.4116,14,100,6.5639,14,98
30,3,2,4,44,46,7.494,14,98,5.5871,14,98,4.7791,14,98
30,3,2,5,44,47,5.0344,14,98,2.8219,14,100,6.01,14,98
30,3,2,6,44,48,4.5019,14,100,5.8545,14,98,6.1698,14,98
30,3,2,7,44,49,4.5256,14,100,5.1679,14,98,10.4591,14,98
30,3,2,8,44,50,5.4616,14,98,3.7038,14,100,6.4669,14,98
30,3,2,9,44,51,2.9034,14,100,5.2929,14,98,8.0518,14,98
30,3,2,10,44,52,4.4053,14,100,3.9587,14,100,5.6163,14,98
30,3,2,11,44,53,4.5753,14,100,4.1578,14,100,7.5178,14,98
30,3,2,12,44,54,4.5299,14,100,3.1229,14,100,3.8715,14,100
30,3,2,13,44,55,2.9214,14,98,4.9295,14,98,6.8045,14,98
30,3,2,14,44,56,4.2003,14,98,5.0565,14,98,4.8585,14,98
30,3,2,15,44,57,5.3923,14,98,5.9633,14,98,7.8061,14,98
30,3,2,16,44,58,4.0952,14,100,3.7309,14,100,5.217,14,98
30,3,2,17,44,59,3.4467,14,100,3.2718,14,98,4.915,14,98
30,3,2,18,44,60,7.7916,14,98,6.0611,14,98,6.1881,14,98
30,3,2,19,44,61,4.7982,14,98,4.8357,14,98,6.3964,14,98
30,3,2,20,44,62,5.6154,14,98,2.8162,14,98,6.4425,14,98
30,3,2,21,44,63,3.1096,14,100,5.3596,14,98,7.7225,14,98
30,3,2,22,44,64,5.0011,14,98,4.5344,14,98,6.4979,14,98
30,3,2,23,44,65,3.4214,14,100,3.5034,14,98,9.8638,14,98
30,3,2,24,44,66,4.6931,14,98,3.2981,14,98,4.6491,14,98
30,3,2,25,44,67,6.4144,14,98,3.8938,14,100,8.1425,14,98
30,3,2,26,44,68,5.7056,14,98,6.2104,14,98,7.1869,14,98
30,3,2,27,44,69,5.2457,14,100,5.7183,14,98,4.8528,14,98
30,3,2,28,44,70,3.4282,14,100,2.586,14,100,5.0648,14,98
30,3,2,29,44,71,5.7427,14,98,5.5805,14,100,4.9237,14,98
30,6,4,0,46,42,4.2867,10,127,3.8865,10,127,3.9312,10,127
30,6,4,1,46,43,2.4404,10,127,2.3882,10,127,6.2539,10,127
30,6,4,2,46,44,3.3646,10,130,2.3913,10,127,3.4424,10,127
30,6,4,3,46,45,2.0509,10,130,2.3414,10,127,3.158,10,127
30,6,4,4,46,46,1.9894,10,130,3.5115,10,127,4.885,10,127
30,6,4,5,46,47,3.5265,10,127,5.6567,10,127,5.004,10,127
30,6,4,6,46,48,3.3844,10,127,3.8741,10,127,6.0671,10,127
30,6,4,7,46,49,3.6429,10,127,3.5028,10,127,5.5666,10,127
30,6,4,8,46,50,2.0104,10,130,1.9726,10,130,3.1659,10,127
30,6,4,9,46,51,2.891,10,127,1.9692,10,130,3.673,10,127
30,6,4,10,46,52,3.3627,10,127,3.233,10,130,5.1059,10,127
30,6,4,11,46,53,2.47,10,127,3.5344,10,127,3.807,10,127
30,6,4,12,46,54,2.9983,10,127,2.4228,10,130,5.2486,10,127
30,6,4,13,46,55,4.585,10,127,6.157,10,127,4.6719,10,127
30,6,4,14,46,56,4.0056,10,127,2.4456,10,127,3.6014,10,127
30,6,4,15,46,57,3.4946,10,127,2.3203,10,130,4.5458,10,127
30,6,4,16,46,58,2.3884,10,130,4.2203,10,127,3.6652,10,127
30,6,4,17,46,59,2.217,10,127,3.4544,10,127,3.7997,10,127
30,6,4,18,46,60,2.8662,10,127,2.1013,10,130,4.4344,10,127
30,6,4,19,46,61,3.6822,10,127,2.3233,10,130,4.4802,10,127
30,6,4,20,46,62,2.9172,10,127,2.4794,10,127,5.5652,10,127
30,6,4,21,46,63,2.382,10,127,1.9802,10,130,5.6778,10,127
30,6,4,22,46,64,3.9497,10,127,4.5122,10,127,4.3101,10,127
30,6,4,23,46,65,2.7828,10,127,2.3002,10,130,4.9901,10,127
30,6,4,24,46,66,2.9551,10,127,2.826,10,127,3.9097,10,127
30,6,4,25,46,67,2.7721,10,127,2.0995,10,127,3.791,10,127
