n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,0,0,42,42,3.6445,11,131,0.6469,127,4.111,11,131,0.639,127,3.9156,11,131,0.7116,127,1.3363,123
30,3,0,1,42,43,6.6129,11,131,0.7342,127,3.8955,11,131,0.7201,127,4.4515,11,131,0.7077,127,1.1377,123
30,3,0,2,42,44,3.7881,11,131,0.6785,127,3.8365,11,131,0.7021,127,3.6639,11,131,0.693,127,1.4215,123
30,3,0,3,42,45,6.3257,11,131,0.744,127,4.6625,11,131,0.7462,127,3.754,11,131,0.7534,127,1.4002,123
30,3,0,4,42,46,4.2399,11,131,0.7066,127,3.0128,11,131,0.7131,127,3.6266,11,131,0.8261,127,1.1476,123
30,3,0,5,42,47,4.1089,11,131,0.7092,127,5.5934,11,131,0.6746,127,4.2289,11,131,0.7516,127,1.356,123
30,3,0,6,42,48,4.4651,11,131,0.6754,127,3.4946,11,131,0.6939,127,3.7279,11,131,0.6963,127,1.3577,123
30,3,0,7,42,49,4.3996,11,131,0.6592,127,5.739,11,131,0.6616,127,3.1577,11,131,0.7253,127,1.4902,123
30,3,0,8,42,50,4.0142,11,131,0.6968,127,3.6373,11,131,0.6722,127,3.7489,11,131,0.6841,127,1.5365,123
30,3,0,9,42,51,4.2952,11,131,0.7554,127,3.7541,11,131,0.6682,127,6.2736,11,131,0.7635,127,1.3729,123
30,3,1,0,43,42,2.966,10,38,0.5977,38,5.8747,10,41,0.6553,38,4.8284,10,40,0.6332,40,0.5762,38
30,3,1,1,43,43,5.3987,10,42,0.5971,42,4.8533,10,42,2.9772,42,5.083,10,41,0.6668,38,0.559,35
30,3,1,2,43,44,6.1956,10,41,0.6522,38,4.6796,10,42,0.6062,42,5.314,10,42,0.6383,42,0.6334,39
30,3,1,3,43,45,4.8812,10,39,0.911,34,7.5869,10,41,0.6648,38,6.5834,10,41,0.6836,38,0.5198,35
30,3,1,4,43,46,3.1027,10,41,0.6186,41,3.2637,10,42,0.5957,42,5.1425,10,41,0.669,38,0.5116,35
30,3,1,5,43,47,9.599,10,41,0.6395,38,6.5162,10,41,0.6506,38,2.8304,10,41,0.62,41,0.5384,39
30,3,1,6,43,48,5.2174,10,41,0.5742,38,4.7219,10,42,0.5806,42,5.2106,10,41,0.6718,38,0.6208,35
30,3,1,7,43,49,7.5143,10,42,0.6216,42,3.6842,10,39,0.5887,39,4.049,10,42,0.6207,42,0.6466,40
30,3,1,8,43,50,2.9358,10,40,0.5941,40,4.4093,10,41,0.6156,38,7.1217,10,40,0.6287,40,0.5342,38
30,3,1,9,43,51,5.3758,10,43,0.5807,43,6.3732,10,41,0.5833,41,3.6857,10,42,0.6184,42,0.6143,40
30,3,2,0,44,42,3.9925,14,100,0.8732,82,4.5075,14,98,0.8018,91,4.7158,14,98,1.0902,88,7.1917,88
30,3,2,1,44,43,3.3317,14,100,1.2234,88,6.03,14,98,0.9085,88,4.6114,14,98,0.9685,88,4.2401,88
30,3,2,2,44,44,4.7799,14,98,1.624,88,9.2478,14,98,0.8549,88,5.3767,14,98,1.2449,88,4.5092,88
30,3,2,3,44,45,5.1832,14,98,0.9318,91,6.4726,14,98,1.2667,88,3.8869,14,98,4.161,88,4.1831,88
30,3,2,4,44,46,5.56,14,98,0.931,91,4.5042,14,98,0.9078,88,4.6601,14,98,0.9362,88,4.3031,88
30,3,2,5,44,47,5.3071,14,98,4.4337,88,6.351,14,98,0.9914,88,4.3205,14,98,0.8819,88,4.4969,88
30,3,2,6,44,48,6.3422,14,98,0.8325,92,4.6155,14,98,0.8881,88,6.8332,14,98,0.8909,88,3.9547,88
30,3,2,7,44,49,6.5908,14,98,1.1858,88,4.4965,14,98,0.9469,88,6.2284,14,98,1.184,88,4.0848,88
30,3,2,8,44,50,7.3809,14,98,1.5794,88,4.0552,14,100,0.8683,82,4.2186,14,98,0.8145,88,4.2777,88
30,3,2,9,44,51,6.1228,14,98,1.0307,88,5.4577,14,98,4.462,88,4.4285,14,98,1.2808,88,4.0709,88
30,3,3,0,45,42,5.3646,12,128,0.9779,117,4.9905,12,128,0.7661,121,4.398,12,128,0.8014,117,9.3504,117
30,3,3,1,45,43,6.4581,12,128,0.7237,120,4.9996,12,128,0.7997,121,4.1368,12,128,1.3715,119,5.6419,117
30,3,3,2,45,44,5.1745,12,128,0.9512,117,7.6921,12,128,0.9757,117,4.5903,12,128,0.8266,119,8.8455,117
30,3,3,3,45,45,5.286,12,128,0.9634,117,4.3519,12,128,0.9597,117,7.4778,12,128,0.9978,119,5.4551,117
30,3,3,4,45,46,4.7087,12,129,0.7808,119,4.6255,12,128,0.8689,117,5.2413,12,128,0.9923,117,9.9784,117
