n_of_job,n_of_family,problem,iteration,seed1,seed2,EDD_P1_time,EDD_P1_bin,EDD_P1_fitness,EDD_CP_time,EDD_CP_fitness,SST_P1_time,SST_P1_bin,SST_P1_fitness,SST_CP_time,SST_CP_fitness,LA_P1_time,LA_P1_bin,LA_P1_fitness,LA_CP_time,LA_CP_fitness
30,3,0,0,42,42,0.0018,14,198,10.0917,175,0.0009,13,188,12.1258,160,0.0011,11,172,2.7544,151
30,3,0,1,42,43,0.001,14,198,10.0706,175,0.0008,13,188,10.0785,160,0.001,11,172,4.921,151
30,3,0,2,42,44,0.001,14,198,10.0633,175,0.0009,13,188,10.0678,160,0.0011,11,172,2.9478,151
30,3,0,3,42,45,0.0011,14,198,12.1563,175,0.0009,13,188,10.0779,160,0.001,11,172,2.8029,151
30,3,0,4,42,46,0.001,14,198,10.0601,175,0.0009,13,188,12.1773,160,0.001,11,172,2.8202,151
30,3,0,5,42,47,0.001,14,198,10.0533,175,0.0009,13,188,10.061,160,0.0011,11,172,2.9133,151
30,3,0,6,42,48,0.0011,14,198,12.1559,175,0.001,13,188,10.0732,160,0.0011,11,172,2.7606,151
30,3,0,7,42,49,0.0011,14,198,10.0781,175,0.0011,13,188,11.899,160,0.0015,11,172,2.7818,151
30,3,0,8,42,50,0.0011,14,198,10.0658,175,0.001,13,188,10.0756,160,0.0011,11,172,2.9102,151
30,3,0,9,42,51,0.0013,14,198,12.511,175,0.0009,13,188,10.0694,160,0.0012,11,172,2.8324,151
30,3,1,0,43,42,0.001,12,114,0.5667,37,0.001,12,105,1.778,57,0.0011,10,119,0.836,58
30,3,1,1,43,43,0.0009,12,114,0.6475,37,0.001,12,105,1.8817,57,0.001,10,119,0.8316,58
30,3,1,2,43,44,0.001,12,114,0.6384,37,0.0009,12,105,1.8683,57,0.001,10,119,0.7368,58
30,3,1,3,43,45,0.0008,12,114,2.4732,37,0.0008,12,105,1.7831,57,0.001,10,119,0.7395,58
30,3,1,4,43,46,0.0009,12,114,0.5973,37,0.0009,12,105,1.6902,57,0.001,10,119,0.7422,58
30,3,1,5,43,47,0.0008,12,114,0.5759,37,0.0009,12,105,1.6455,57,0.0009,10,119,0.7097,58
30,3,1,6,43,48,0.0008,12,114,0.5711,37,0.0008,12,105,1.6691,57,0.0009,10,119,0.738,58
