n_of_job,n_of_family,problem,iteration,seed1,seed2,SA_P1_time,SA_P1_bin,SA_P1_fitness,SA_CP_time,SA_CP_fitness,Tabu_P1_time,TabuA_P1_bin,Tabu_P1_fitness,Tabu_CP_time,Tabu_CP_fitness
30,3,0,0,42,42,10.3259,11,131,1.2219,123,7.5046,11,131,1.4109,123
30,3,0,1,42,43,9.2627,11,131,1.3343,123,7.9979,11,131,2.5532,123
30,3,0,2,42,44,9.2719,11,131,1.3155,123,7.5969,11,131,1.4514,123
30,3,0,3,42,45,9.1059,11,131,1.3653,123,8.2561,11,131,1.4841,123
30,3,0,4,42,46,9.2291,11,131,1.5068,123,7.7,11,131,1.4627,123
30,3,0,5,42,47,10.3338,11,131,1.3659,123,7.5449,11,131,1.4314,123
30,3,0,6,42,48,9.1968,11,131,1.4111,123,8.4427,11,131,1.4975,123
30,3,0,7,42,49,9.2739,11,131,1.2687,123,7.3819,11,131,1.4271,123
30,3,0,8,42,50,9.4057,11,131,2.6771,123,7.2823,11,131,1.4156,123
30,3,0,9,42,51,9.2168,11,131,1.3182,123,7.5742,11,131,1.6522,123
30,3,1,0,43,42,9.6339,10,43,0.6565,41,7.0306,10,42,0.6352,38
30,3,1,1,43,43,8.6652,10,42,0.6964,38,7.308,10,51,0.6434,43
30,3,1,2,43,44,9.7863,10,38,0.5852,36,6.8671,10,41,0.627,41
30,3,1,3,43,45,8.6177,10,41,0.5756,35,7.5075,10,38,1.7015,36
30,3,1,4,43,46,8.9037,10,42,0.6484,40,7.042,10,41,0.573,35
30,3,1,5,43,47,9.0301,10,42,0.7323,40,8.5512,10,42,0.7035,40
30,3,1,6,43,48,8.4756,10,41,0.599,41,6.8796,10,41,0.64,41
30,3,1,7,43,49,8.5209,10,41,0.6525,41,8.1445,10,41,0.6303,35
30,3,1,8,43,50,8.7217,10,41,0.6402,41,7.8726,10,41,0.6366,41
30,3,1,9,43,51,8.5914,10,42,0.6765,38,8.0761,10,41,0.6723,35
30,3,2,0,44,42,10.0648,14,100,5.9136,82,8.0532,14,98,6.3744,88
30,3,2,1,44,43,9.9862,14,100,5.4908,82,8.0721,14,98,4.8072,88
30,3,2,2,44,44,11.4314,14,98,4.4466,88,7.8804,14,98,3.8388,88
30,3,2,3,44,45,11.6536,14,100,6.393,82,7.8246,14,98,4.0343,88
30,3,2,4,44,46,11.6767,14,100,5.9612,82,7.2316,14,100,6.7275,82
30,3,2,5,44,47,10.3832,14,98,5.8819,88,7.6039,14,98,5.4972,88
30,3,2,6,44,48,10.2807,14,98,4.0784,88,9.0592,14,98,5.1234,88
30,3,2,7,44,49,10.531,14,100,6.7134,82,8.8718,14,100,6.6615,82
30,3,2,8,44,50,14.2083,14,100,8.1981,82,7.7698,14,98,4.7102,88
30,3,2,9,44,51,10.3298,14,100,3.9338,87,14.8481,14,100,9.3515,82
30,3,3,0,45,42,21.1971,12,128,7.3092,117,25.994,12,128,8.4124,117
30,3,3,1,45,43,21.8876,12,128,6.7287,117,25.4313,12,128,8.1791,117
30,3,3,2,45,44,20.1018,12,128,9.5741,117,23.3741,12,128,8.3906,117
30,3,3,3,45,45,18.3927,12,129,6.6667,117,24.1263,12,128,10.1438,119
30,3,3,4,45,46,19.8214,12,129,6.0755,117,24.3223,12,128,7.3249,117
30,3,3,5,45,47,19.6695,12,128,10.048,117,24.4636,12,128,8.0665,117
30,3,3,6,45,48,20.3738,12,128,8.8927,117,24.4163,12,128,7.7061,117
30,3,3,7,45,49,19.5965,12,128,7.7561,117,22.2898,12,128,9.6835,117
30,3,3,8,45,50,19.2782,12,128,7.8027,117,23.8343,12,130,11.1946,130
30,3,3,9,45,51,18.6454,12,128,8.626,117,23.6294,12,128,9.512,117
30,3,4,0,46,42,15.7717,8,71,0.7588,68,19.5936,8,71,0.1836,68
30,3,4,1,46,43,16.2726,8,71,0.1803,68,20.5772,8,71,0.1825,68
30,3,4,2,46,44,15.2257,8,73,0.7173,72,20.984,8,73,0.7463,72
30,3,4,3,46,45,14.4404,8,71,0.8093,68,20.9326,8,71,0.2959,68
30,3,4,4,46,46,14.9722,8,71,0.7528,68,24.0622,8,73,0.8975,72
30,3,4,5,46,47,14.7091,8,71,0.2202,68,25.3387,8,73,0.9266,72
30,3,4,6,46,48,15.8723,8,72,0.89,68,23.0511,8,71,0.158,68
30,3,4,7,46,49,15.8591,8,71,0.2566,68,24.923,8,73,0.8729,72
30,3,4,8,46,50,14.8033,8,71,0.8662,68,25.1021,8,73,0.8369,72
30,3,4,9,46,51,15.77,8,71,0.9001,68,24.9652,8,71,0.1815,68
30,6,0,0,42,42,21.0818,12,77,10.1251,75,27.8149,12,77,10.1123,73
30,6,0,1,42,43,20.2956,12,77,10.1436,73,28.2887,12,77,10.1172,73
30,6,0,2,42,44,19.6064,12,77,10.1231,75,28.076,12,77,10.1361,75
30,6,0,3,42,45,21.8203,12,77,10.147,73,27.7347,12,77,10.0892,73
30,6,0,4,42,46,20.6652,12,77,10.0818,75,27.5382,12,77,10.1307,73
30,6,0,5,42,47,20.922,12,77,10.1104,73,27.799,12,77,10.1435,73
30,6,0,6,42,48,19.8269,12,77,10.0906,75,27.9823,12,77,11.3385,73
30,6,0,7,42,49,18.4947,12,77,10.1492,73,27.953,12,77,11.3724,75
30,6,0,8,42,50,18.2345,12,77,10.121,73,27.983,12,77,11.324,73
30,6,0,9,42,51,19.0799,12,77,10.0822,75,28.0709,12,77,11.3271,73
30,6,1,0,43,42,18.777,12,76,3.3613,69,28.0429,12,76,2.8255,69
30,6,1,1,43,43,20.011,12,76,2.8546,69,28.0647,12,76,2.9974,69
30,6,1,2,43,44,19.1438,12,76,4.3773,69,26.5452,12,76,2.9072,69
30,6,1,3,43,45,19.7449,12,76,3.0342,69,28.2989,12,76,3.3385,69
30,6,1,4,43,46,21.2034,12,76,2.9919,69,27.923,12,76,2.883,69
30,6,1,5,43,47,20.9089,12,76,3.4199,69,27.1873,12,76,2.9938,69
30,6,1,6,43,48,19.7518,12,76,3.4698,69,27.9597,12,76,3.4535,69
30,6,1,7,43,49,19.9736,12,76,3.5219,69,27.3532,12,76,4.1945,69
30,6,1,8,43,50,18.3736,12,76,3.232,69,28.1579,12,76,3.4682,69
30,6,1,9,43,51,20.0697,12,76,2.9673,69,28.0894,12,76,4.2299,69
30,6,2,0,44,42,23.9547,15,104,10.1197,94,30.5502,15,107,10.1614,96
30,6,2,1,44,43,24.0031,15,104,10.1018,94,30.3172,15,107,10.1426,96
30,6,2,2,44,44,21.8611,15,104,11.5454,94,29.6781,15,107,10.1058,96
30,6,2,3,44,45,22.6856,15,104,10.1222,94,30.1406,15,107,10.099,96
30,6,2,4,44,46,22.9674,15,104,9.8521,94,30.1283,15,104,10.1552,94
30,6,2,5,44,47,22.459,15,104,10.1167,94,30.3385,15,107,11.0209,96
30,6,2,6,44,48,22.0739,15,104,11.0078,94,30.6089,15,104,10.112,94
30,6,2,7,44,49,23.1718,15,104,10.1224,94,30.2657,15,104,9.1401,94
30,6,2,8,44,50,24.6163,15,104,10.079,94,30.0071,15,104,9.8732,94
30,6,2,9,44,51,23.1607,15,104,10.1311,94,30.3384,15,107,10.5925,96
30,6,3,0,45,42,22.8416,15,112,11.2209,92,28.8129,15,111,10.1574,99
30,6,3,1,45,43,24.5953,15,103,10.1552,91,29.1196,15,103,10.8283,89
30,6,3,2,45,44,23.0391,15,103,10.8938,91,28.9451,15,103,10.9584,91
30,6,3,3,45,45,21.3643,15,103,11.0653,90,29.6661,15,103,10.0963,90
30,6,3,4,45,46,23.4827,15,103,10.1042,91,29.4053,15,113,10.1494,103
30,6,3,5,45,47,22.2367,15,103,10.0845,90,29.8789,15,103,10.1526,91
30,6,3,6,45,48,21.7522,15,103,10.1253,90,29.7253,15,103,10.9927,91
30,6,3,7,45,49,20.7155,15,103,10.1039,91,29.7243,15,103,11.0267,90
30,6,3,8,45,50,22.5011,15,103,11.0542,90,30.0886,15,103,10.1734,90
30,6,3,9,45,51,23.3139,15,113,10.1164,102,30.3176,15,103,10.1503,90
30,6,4,0,46,42,19.1944,10,127,1.3492,127,27.9351,10,127,1.4488,127
30,6,4,1,46,43,18.1472,10,127,1.3488,127,27.3619,10,127,1.4458,127
30,6,4,2,46,44,19.02,10,127,1.4951,127,27.5459,10,127,1.5396,127
30,6,4,3,46,45,19.3862,10,127,1.1756,127,27.9266,10,127,1.4125,127
30,6,4,4,46,46,19.7585,10,127,1.3135,127,27.8144,10,127,1.2573,127
30,6,4,5,46,47,17.7227,10,127,1.2456,127,27.713,10,127,1.2919,127
30,6,4,6,46,48,20.1248,10,130,0.975,122,26.6771,10,127,2.5334,127
30,6,4,7,46,49,17.8918,10,127,1.4743,127,27.3386,10,127,1.3027,127
30,6,4,8,46,50,19.1361,10,127,1.4125,127,26.1561,10,127,1.3294,127
30,6,4,9,46,51,18.7707,10,127,1.4802,127,27.9206,10,127,1.2599,127
60,3,0,0,42,42,64.9858,25,508,10.1239,448,61.8211,25,506,10.0801,436
60,3,0,1,42,43,63.4165,25,515,10.1717,435,62.6252,25,444,11.3257,425
60,3,0,2,42,44,63.4957,25,489,10.1102,426,62.4232,25,480,10.1276,424
60,3,0,3,42,45,66.5195,25,498,10.1531,398,62.9376,25,495,11.5031,448
60,3,0,4,42,46,62.8352,25,545,11.3996,484,61.3664,25,475,10.0781,406
60,3,0,5,42,47,65.1271,25,519,10.1289,407,62.0489,25,486,10.1069,442
60,3,0,6,42,48,66.7944,25,488,10.1438,445,63.1947,25,491,10.1824,427
60,3,0,7,42,49,68.8635,25,480,11.4544,421,62.5753,25,469,10.1231,407
60,3,0,8,42,50,65.1282,25,474,10.1286,445,63.3266,25,450,10.0811,392
60,3,0,9,42,51,65.3877,25,470,11.4758,447,62.0008,25,477,11.5106,436
60,3,1,0,43,42,56.3224,21,191,11.6656,182,57.1009,21,184,11.5585,173
60,3,1,1,43,43,61.7896,21,194,10.0889,182,58.2328,21,194,10.1038,169
60,3,1,2,43,44,58.9458,21,201,10.1569,178,57.8209,21,187,10.1119,163
60,3,1,3,43,45,56.5996,21,200,11.518,177,57.2116,21,188,11.4972,164
60,3,1,4,43,46,57.2798,21,190,11.501,171,56.8308,21,189,11.4879,174
60,3,1,5,43,47,58.6609,21,207,11.5189,189,64.3949,21,188,10.1048,170
60,3,1,6,43,48,58.5052,21,194,10.1235,169,63.5793,21,195,10.1268,178
60,3,1,7,43,49,60.1095,21,187,10.1045,174,63.1444,21,183,11.55,169
60,3,1,8,43,50,66.9699,21,206,10.1141,188,63.1365,21,180,10.1159,164
60,3,1,9,43,51,59.0266,21,202,10.1267,163,61.2446,21,185,10.1683,169
60,3,2,0,44,42,61.8058,21,376,10.1265,342,63.7282,21,394,11.5467,375
60,3,2,1,44,43,56.6593,21,409,11.6022,380,62.0974,21,376,11.5993,337
60,3,2,2,44,44,56.4005,21,377,11.5449,350,62.9311,21,435,10.1726,405
60,3,2,3,44,45,58.4152,21,392,10.1051,347,64.7678,21,365,10.1293,344
60,3,2,4,44,46,58.4213,21,384,10.134,380,64.3916,21,389,10.1256,355
60,3,2,5,44,47,60.1305,21,374,11.5652,357,63.5677,21,363,11.792,340
60,3,2,6,44,48,59.5957,21,392,10.1095,343,63.0248,21,375,10.1408,350
60,3,2,7,44,49,60.8814,21,397,10.0921,369,64.4471,21,379,10.1499,355
60,3,2,8,44,50,64.6008,21,405,11.5619,357,61.2947,21,373,11.6345,355
60,3,2,9,44,51,59.6407,21,388,10.1057,357,62.9154,21,371,10.0914,332
60,3,3,0,45,42,67.809,27,650,10.1466,571,70.2732,27,615,11.6893,541
60,3,3,1,45,43,65.8566,26,709,10.1447,597,68.1718,27,642,10.1751,553
60,3,3,2,45,44,73.0394,26,705,10.1342,608,68.4685,26,683,10.8742,603
60,3,3,3,45,45,73.8151,27,617,10.1033,545,68.8958,27,603,11.0078,540
60,3,3,4,45,46,69.5752,26,703,10.1629,604,70.501,27,621,10.1322,532
60,3,3,5,45,47,72.5183,27,640,10.1256,536,67.706,27,680,10.1595,566
60,3,3,6,45,48,74.2393,26,692,11.4463,602,70.3565,27,636,10.1286,543
60,3,3,7,45,49,69.7742,26,704,11.4218,598,69.4993,26,720,10.1252,654
60,3,3,8,45,50,73.8747,27,654,10.0839,536,72.186,27,624,10.1239,536
60,3,3,9,45,51,69.3971,26,666,10.1111,594,69.3925,27,593,11.287,518
60,3,4,0,46,42,53.1487,19,374,11.4907,333,55.6995,19,332,11.2674,306
60,3,4,1,46,43,55.3537,19,337,11.3432,295,54.9342,19,326,11.3365,288
60,3,4,2,46,44,52.5622,19,346,10.0857,315,55.1958,19,339,10.0932,320
60,3,4,3,46,45,59.6132,19,398,10.0965,374,55.6401,19,338,10.1171,327
60,3,4,4,46,46,57.2481,19,379,10.1111,334,56.3742,19,338,10.1642,315
60,3,4,5,46,47,53.2955,19,361,10.1467,302,55.6769,19,341,10.1077,321
60,3,4,6,46,48,60.0522,19,360,10.1521,346,60.9446,19,339,10.1011,319
60,3,4,7,46,49,56.82,19,343,10.1679,290,58.0627,19,334,10.1368,286
60,3,4,8,46,50,56.0806,19,354,10.1137,328,57.5565,19,328,10.1092,309
60,3,4,9,46,51,55.28,19,358,10.1039,325,56.8618,19,329,10.1319,298
60,6,0,0,42,42,68.5325,25,480,11.6454,437,68.1561,25,477,10.1012,440
60,6,0,1,42,43,67.374,25,467,10.1208,425,65.9958,25,436,10.1189,406
60,6,0,2,42,44,66.3259,25,474,11.5934,424,66.2671,25,455,10.156,432
60,6,0,3,42,45,65.7848,25,497,10.08,439,67.2717,25,453,11.5946,411
60,6,0,4,42,46,68.1642,25,473,10.1151,437,67.5723,25,488,10.1262,460
60,6,0,5,42,47,66.5561,25,463,11.5585,414,65.1535,25,504,11.5564,444
60,6,0,6,42,48,66.4154,25,486,10.1153,440,66.986,25,512,10.1805,465
60,6,0,7,42,49,65.7711,25,461,11.6405,407,66.3498,25,464,10.1049,418
60,6,0,8,42,50,65.6732,25,467,10.1232,415,67.9081,25,491,10.1468,439
60,6,0,9,42,51,76.1696,25,507,10.0893,447,68.7693,25,483,10.1213,447
60,6,1,0,43,42,65.9318,24,306,11.6609,259,63.7919,24,290,11.6509,269
60,6,1,1,43,43,63.1677,24,296,10.1204,231,69.3142,24,298,10.1742,222
60,6,1,2,43,44,64.0549,24,328,10.1185,232,64.3216,24,320,11.6572,257
60,6,1,3,43,45,71.8311,24,326,10.0898,260,67.0326,24,306,10.0828,246
60,6,1,4,43,46,64.3506,24,318,11.5346,255,67.8859,24,307,10.192,243
60,6,1,5,43,47,67.0578,24,291,10.1093,265,68.1751,24,304,11.5145,266
60,6,1,6,43,48,67.2992,24,314,10.1621,228,67.2153,24,309,10.1326,232
60,6,1,7,43,49,65.2188,24,296,10.1612,245,66.3664,24,303,11.7113,271
60,6,1,8,43,50,66.6662,24,316,10.1285,273,65.2054,24,334,10.1129,276
60,6,1,9,43,51,67.6627,24,337,10.101,251,66.6594,24,300,11.5811,247
60,6,2,0,44,42,63.6498,23,374,10.141,348,65.0491,23,348,10.0984,328
60,6,2,1,44,43,69.4734,23,371,11.5629,304,63.8678,23,375,11.5224,332
60,6,2,2,44,44,67.146,23,365,10.1478,324,66.227,23,368,10.1287,323
60,6,2,3,44,45,63.8423,23,389,11.6007,332,64.171,23,368,11.5973,314
60,6,2,4,44,46,68.5152,23,372,10.1416,323,66.4922,23,345,10.1015,322
60,6,2,5,44,47,65.0504,23,364,11.6149,308,64.0061,23,376,10.1146,325
60,6,2,6,44,48,64.8883,23,403,10.0994,343,66.2936,23,372,10.1093,347
60,6,2,7,44,49,64.4833,23,375,11.5705,325,63.6157,23,362,11.6884,338
60,6,2,8,44,50,69.6596,23,382,10.1591,331,67.1935,23,364,10.0638,305
60,6,2,9,44,51,65.4501,23,371,11.7105,322,64.6291,23,350,10.1313,322
60,6,3,0,45,42,72.314,28,521,10.1381,437,71.9224,28,505,11.6607,453
60,6,3,1,45,43,70.6085,28,524,10.1253,465,70.4123,28,538,11.629,489
60,6,3,2,45,44,70.6545,28,522,10.1276,404,71.7216,28,535,10.1277,437
60,6,3,3,45,45,78.6668,28,517,10.1061,465,71.6803,28,516,10.1107,424
60,6,3,4,45,46,68.9717,28,531,11.724,407,70.1757,28,505,10.1829,452
60,6,3,5,45,47,71.2027,28,506,11.7009,400,71.0298,28,505,10.1159,430
60,6,3,6,45,48,81.41,28,519,11.8434,450,70.011,28,519,10.1813,444
60,6,3,7,45,49,70.5092,28,537,10.158,434,73.0391,28,528,10.1271,440
60,6,3,8,45,50,70.044,28,540,10.1162,460,71.1097,28,521,11.788,444
