n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,0,0,42,42,2.1669,11,261,0.7307,132,2.0471,132
30,3,0,1,42,43,2.3837,11,252,0.6992,139,2.5813,139
30,3,0,2,42,44,2.3806,11,261,0.6939,132,1.8138,132
30,3,0,3,42,45,2.3157,11,261,0.7921,123,2.0116,121
30,3,0,4,42,46,5.3228,11,252,0.7556,139,2.4538,139
30,3,0,5,42,47,2.8708,11,261,0.6715,123,1.4639,121
30,3,0,6,42,48,2.1831,11,261,0.6927,132,1.9411,132
30,3,0,7,42,49,2.285,11,261,0.7105,123,1.761,121
30,3,0,8,42,50,2.6268,11,261,0.7839,123,2.1705,121
30,3,0,9,42,51,3.7854,11,252,0.7793,139,3.544,139
30,3,1,0,43,42,3.1903,10,67,0.7181,45,0.6393,41
30,3,1,1,43,43,3.3796,10,67,0.6601,45,0.5644,41
30,3,1,2,43,44,4.5317,10,66,0.6518,51,0.6257,45
30,3,1,3,43,45,4.3186,10,66,0.6513,51,0.6015,45
30,3,1,4,43,46,4.7421,10,66,0.7132,51,0.6778,45
30,3,1,5,43,47,2.6039,10,67,0.7055,45,0.6089,41
30,3,1,6,43,48,5.5864,10,66,0.8321,51,0.7238,45
30,3,1,7,43,49,5.6724,10,66,0.6549,51,0.6879,45
30,3,1,8,43,50,4.6818,10,66,0.6905,51,0.71,45
30,3,1,9,43,51,4.3684,10,67,0.6819,45,0.606,41
30,3,2,0,44,42,4.0829,14,140,1.0019,113,7.3975,112
30,3,2,1,44,43,3.7134,14,140,1.036,113,8.7024,112
30,3,2,2,44,44,4.7264,14,140,0.95,113,6.5968,112
30,3,2,3,44,45,5.3117,14,140,0.9224,113,7.0209,112
30,3,2,4,44,46,3.6407,14,140,0.857,113,7.0267,112
30,3,2,5,44,47,3.1858,14,140,0.9441,113,7.5815,112
30,3,2,6,44,48,4.7196,14,140,0.9085,113,5.91,112
30,3,2,7,44,49,3.4961,14,140,0.8882,113,5.5043,112
30,3,2,8,44,50,4.1467,14,140,0.8624,113,6.0224,112
30,3,2,9,44,51,5.4261,14,140,0.9225,113,5.5872,112
30,3,3,0,45,42,3.5263,12,222,0.8326,162,10.0789,154
30,3,3,1,45,43,2.8418,12,220,0.8311,159,11.0391,161
30,3,3,2,45,44,3.1447,12,217,0.8053,146,10.0751,146
30,3,3,3,45,45,4.7856,12,217,0.8475,146,11.0717,146
30,3,3,4,45,46,4.7983,12,221,0.7838,170,10.0573,161
30,3,3,5,45,47,4.8713,12,217,0.8177,146,11.0636,146
30,3,3,6,45,48,4.5149,12,217,0.8083,146,10.0643,146
30,3,3,7,45,49,3.6478,12,222,0.8505,162,10.0824,155
30,3,3,8,45,50,6.4851,12,217,0.7436,146,10.0678,146
30,3,3,9,45,51,3.6902,12,217,0.8844,146,10.0805,146
30,3,4,0,46,42,3.0573,8,214,0.6063,93,0.654,89
30,3,4,1,46,43,2.9584,8,214,0.6075,94,0.6993,89
30,3,4,2,46,44,3.214,8,214,0.9026,96,0.7183,90
30,3,4,3,46,45,2.9368,8,214,0.6964,96,0.7555,90
30,3,4,4,46,46,2.7802,8,214,0.6944,96,0.6962,90
30,3,4,5,46,47,2.8213,8,214,0.757,96,0.7154,90
30,3,4,6,46,48,3.0881,8,214,0.6224,93,0.6347,89
30,3,4,7,46,49,3.0879,8,214,0.6285,96,0.6963,90
30,3,4,8,46,50,2.4208,8,214,0.7405,96,0.7033,90
30,3,4,9,46,51,1.8865,8,214,0.6484,96,0.6246,90
30,6,0,0,42,42,1.848,12,124,0.8258,75,4.3033,75
30,6,0,1,42,43,2.0377,12,124,0.8114,75,4.9329,75
30,6,0,2,42,44,2.2826,12,124,0.8779,75,4.956,75
30,6,0,3,42,45,2.352,12,124,0.926,75,4.5386,75
30,6,0,4,42,46,2.0926,12,124,0.8647,75,3.9604,75
30,6,0,5,42,47,2.1841,12,124,0.9191,75,4.6043,75
30,6,0,6,42,48,2.161,12,124,0.8266,75,5.306,75
30,6,0,7,42,49,2.1062,12,124,0.8797,75,5.4541,75
30,6,0,8,42,50,2.0202,12,124,0.8649,75,5.1163,75
30,6,0,9,42,51,2.0798,12,124,0.8659,75,4.4836,75
30,6,1,0,43,42,2.2696,12,130,0.8515,71,1.8357,67
30,6,1,1,43,43,2.0453,12,130,0.9357,71,2.0525,67
30,6,1,2,43,44,2.1952,12,130,1.5946,71,1.8868,67
30,6,1,3,43,45,2.1581,12,130,0.8343,71,1.9137,67
30,6,1,4,43,46,2.1616,12,130,0.8445,71,1.8609,67
30,6,1,5,43,47,2.1425,12,130,0.7607,71,1.8324,67
30,6,1,6,43,48,2.091,12,130,0.7868,71,2.0789,67
30,6,1,7,43,49,2.1439,12,130,0.881,71,2.2082,67
30,6,1,8,43,50,2.209,12,130,0.7984,71,1.8284,67
30,6,1,9,43,51,3.5962,12,130,0.8278,71,2.1186,67
30,6,2,0,44,42,2.4564,15,137,1.4166,120,10.0649,119
30,6,2,1,44,43,2.2598,15,137,1.065,120,10.0809,120
30,6,2,2,44,44,3.0581,15,137,1.2252,123,10.0569,119
30,6,2,3,44,45,2.0504,15,137,1.0688,120,10.0552,119
30,6,2,4,44,46,2.5355,15,137,1.1121,120,11.1786,119
30,6,2,5,44,47,2.168,15,137,1.1628,120,10.0795,120
30,6,2,6,44,48,2.406,15,137,1.0349,120,11.1375,119
30,6,2,7,44,49,2.4225,15,137,1.1485,120,10.0778,119
30,6,2,8,44,50,2.612,15,137,0.9777,120,10.079,120
30,6,2,9,44,51,3.1251,15,137,1.0167,120,10.0708,119
30,6,3,0,45,42,2.5738,15,98,1.0691,108,10.0733,109
30,6,3,1,45,43,2.6825,15,98,1.0432,108,11.1897,109
30,6,3,2,45,44,1.9589,15,98,1.215,108,10.0734,109
30,6,3,3,45,45,2.2842,15,98,1.0024,108,11.1445,109
30,6,3,4,45,46,2.4283,15,98,1.1046,108,10.0797,109
30,6,3,5,45,47,2.401,15,98,1.0853,108,10.0753,109
30,6,3,6,45,48,2.4512,15,98,1.1097,108,11.2151,109
30,6,3,7,45,49,2.2177,15,98,1.0477,108,10.0664,109
30,6,3,8,45,50,2.256,15,98,1.0716,108,11.2749,109
30,6,3,9,45,51,2.4574,15,98,1.3769,108,10.0636,109
30,6,4,0,46,42,1.9481,10,217,0.6449,125,0.8194,125
30,6,4,1,46,43,1.7226,10,217,0.6827,125,0.8151,125
30,6,4,2,46,44,1.8534,10,217,0.695,125,0.8416,125
30,6,4,3,46,45,1.7871,10,217,0.6952,125,0.7968,125
30,6,4,4,46,46,3.021,10,217,0.7102,125,0.7499,125
