n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,0,0,42,42,3.7062,11,101,0.7478,152,4.4576,151
30,3,0,1,42,43,5.0191,11,98,0.7327,150,4.088,147
30,3,0,2,42,44,2.7943,11,103,0.7133,153,3.5768,153
30,3,0,3,42,45,2.6667,11,103,0.7766,143,3.1903,142
30,3,0,4,42,46,3.0164,11,103,0.7385,143,4.5661,142
30,3,0,5,42,47,4.0765,11,98,0.6876,150,4.478,147
30,3,0,6,42,48,3.0847,11,101,0.7684,152,5.4433,151
30,3,0,7,42,49,4.0302,11,98,0.6687,150,4.2921,147
30,3,0,8,42,50,3.7277,11,98,0.7438,150,4.2601,147
30,3,0,9,42,51,6.8602,11,96,0.733,159,6.0219,157
30,3,1,0,43,42,4.296,10,25,0.8224,49,0.9767,47
30,3,1,1,43,43,6.2283,10,25,0.7087,49,1.0016,47
30,3,1,2,43,44,5.8865,10,25,0.8693,51,1.9653,48
30,3,1,3,43,45,4.2417,10,25,0.7505,51,1.1206,48
30,3,1,4,43,46,3.9995,10,26,0.7124,50,1.0835,46
30,3,1,5,43,47,4.1171,10,25,0.8079,51,0.9651,48
30,3,1,6,43,48,5.8976,10,25,0.8018,51,0.9502,48
30,3,1,7,43,49,3.1944,10,27,0.6982,46,0.9141,41
30,3,1,8,43,50,5.5244,10,25,0.6654,49,0.9527,47
30,3,1,9,43,51,2.5574,10,28,0.7266,42,0.7484,38
30,3,2,0,44,42,4.2719,14,52,0.8523,136,10.0832,137
30,3,2,1,44,43,4.1419,14,52,0.8761,145,10.9759,144
30,3,2,2,44,44,4.1637,14,52,0.8768,136,10.0653,136
30,3,2,3,44,45,4.8407,14,52,0.8639,145,11.2347,146
30,3,2,4,44,46,4.9752,14,52,0.8673,145,10.0806,144
30,3,2,5,44,47,5.4494,14,52,0.9556,145,11.1329,144
30,3,2,6,44,48,4.6378,14,52,0.882,136,10.0721,134
30,3,2,7,44,49,4.2911,14,58,1.0808,143,11.1363,149
30,3,2,8,44,50,4.8706,14,52,0.9418,145,10.0681,146
30,3,2,9,44,51,5.4926,14,52,0.9542,145,11.1093,144
30,3,3,0,45,42,5.6747,12,82,0.8054,162,10.0827,161
30,3,3,1,45,43,4.7379,12,89,0.7923,167,11.1736,168
30,3,3,2,45,44,5.217,12,87,0.7498,175,10.0698,173
30,3,3,3,45,45,4.9959,12,89,0.7713,167,10.9089,167
30,3,3,4,45,46,3.8309,12,89,0.7848,167,10.0705,168
30,3,3,5,45,47,3.787,12,89,0.7552,167,11.1632,167
30,3,3,6,45,48,7.3825,12,82,0.7886,160,10.0611,164
30,3,3,7,45,49,3.516,12,84,0.8823,157,11.2561,156
30,3,3,8,45,50,5.671,12,80,0.7849,165,10.0754,166
30,3,3,9,45,51,8.1132,12,77,0.8141,166,11.2158,171
30,3,4,0,46,42,2.3703,8,79,0.607,85,0.6326,85
30,3,4,1,46,43,2.004,8,79,0.5554,87,0.6318,87
30,3,4,2,46,44,2.5135,8,79,0.5936,87,0.6649,87
30,3,4,3,46,45,2.3402,8,79,0.6452,87,0.6531,87
30,3,4,4,46,46,2.626,8,79,0.6664,87,0.6553,87
30,3,4,5,46,47,2.5153,8,79,0.6288,87,0.6855,87
30,3,4,6,46,48,2.4955,8,79,0.7254,87,0.6869,87
30,3,4,7,46,49,3.7695,8,79,0.6374,87,0.6651,87
30,3,4,8,46,50,1.8375,8,79,0.622,87,0.6661,87
